Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
CTAS,Cintas Corporation,CTAS,Cintas Corporation,Active,Industrials,,,Specialty Business Services,Stock,Industrials,Specialty Business Services,Industrials,Specialty Business Services
APH,Amphenol Corporation,APH,Amphenol Corporation,Active,Technology,,,Electronic Components,Stock,Technology,Electronic Components,Technology,Electronic Components
EQIX,"Equinix, Inc.",EQIX,"Equinix, Inc.",Active,Real Estate,,,REIT - Specialty,Stock,Real Estate,REIT - Specialty,Real Estate,REIT - Specialty
SNPS,"Synopsys, Inc.",SNPS,"Synopsys, Inc.",Active,Technology,,,Software - Infrastructure,Stock,Technology,Software - Infrastructure,Technology,Software - Infrastructure
GD,General Dynamics Corporation,GD,General Dynamics Corporation,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
MCO,Moody's Corporation,MCO,Moody's Corporation,Active,Financial Services,,,Financial Data & Stock Exchanges,Stock,Financial Services,Financial Data & Stock Exchanges,Financial Services,Financial Data & Stock Exchanges
WELL,Welltower Inc.,WELL,Welltower Inc.,Active,Real Estate,,,REIT - Healthcare Facilities,Stock,Real Estate,REIT - Healthcare Facilities,Real Estate,REIT - Healthcare Facilities
AON,Aon plc,AON,Aon plc,Active,Financial Services,,,Insurance Brokers,Stock,Financial Services,Insurance Brokers,Financial Services,Insurance Brokers
PYPL,"PayPal Holdings, Inc.",PYPL,"PayPal Holdings, Inc.",Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
CDNS,"Cadence Design Systems, Inc.",CDNS,"Cadence Design Systems, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
ITW,Illinois Tool Works Inc.,ITW,Illinois Tool Works Inc.,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
PNC,"PNC Financial Services Group, I",PNC,"The PNC Financial Services Group, Inc.",Active,Financial Services,,,Banks - Regional,Stock,Financial Services,Banks - Regional,Financial Services,Banks - Regional
USB,U.S. Bancorp,USB,U.S. Bancorp,Active,Financial Services,,,Banks - Regional,Stock,Financial Services,Banks - Regional,Financial Services,Banks - Regional
CME,CME Group Inc.,CME,CME Group Inc.,Active,Financial Services,,,Financial Data & Stock Exchanges,Stock,Financial Services,Financial Data & Stock Exchanges,Financial Services,Financial Data & Stock Exchanges
CMG,"Chipotle Mexican Grill, Inc.",CMG,"Chipotle Mexican Grill, Inc.",Active,Consumer Cyclical,,,Restaurants,Stock,Consumer Cyclical,Restaurants,Consumer Cyclical,Restaurants
CRWD,"CrowdStrike Holdings, Inc.",CRWD,"CrowdStrike Holdings, Inc.",Active,Technology,,,Software - Infrastructure,Stock,Technology,Software - Infrastructure,Technology,Software - Infrastructure
MSI,"Motorola Solutions, Inc.",MSI,"Motorola Solutions, Inc.",Active,Technology,,,Communication Equipment,Stock,Technology,Communication Equipment,Technology,Communication Equipment
TDG,Transdigm Group Incorporated,TDG,TransDigm Group Incorporated,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
CVS,CVS Health Corporation,CVS,CVS Health Corporation,Active,Healthcare,,,Healthcare Plans,Stock,Healthcare,Healthcare Plans,Healthcare,Healthcare Plans
ZTS,Zoetis Inc.,ZTS,Zoetis Inc.,Active,Healthcare,,,Drug Manufacturers - Specialty & Generic,Stock,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare,Drug Manufacturers - Specialty & Generic
MAR,Marriott International,MAR,"Marriott International, Inc.",Active,Consumer Cyclical,,,Lodging,Stock,Consumer Cyclical,Lodging,Consumer Cyclical,Lodging
NOC,Northrop Grumman Corporation,NOC,Northrop Grumman Corporation,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
CL,Colgate-Palmolive Company,CL,Colgate-Palmolive Company,Active,Consumer Defensive,,,Household & Personal Products,Stock,Consumer Defensive,Household & Personal Products,Consumer Defensive,Household & Personal Products
CEG,Constellation Energy Corporatio,CEG,Constellation Energy Corporation,Active,Utilities,,,Utilities - Renewable,Stock,Utilities,Utilities - Renewable,Utilities,Utilities - Renewable
MMM,3M Company,MMM,3M Company,Active,Industrials,,,Conglomerates,Stock,Industrials,Conglomerates,Industrials,Conglomerates
COF,Capital One Financial Corporati,COF,Capital One Financial Corporation,Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
EMR,Emerson Electric Company,EMR,Emerson Electric Co.,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
EOG,"EOG Resources, Inc.",EOG,"EOG Resources, Inc.",Active,Energy,,,Oil & Gas E&P,Stock,Energy,Oil & Gas E&P,Energy,Oil & Gas E&P
ORLY,"O'Reilly Automotive, Inc.",ORLY,"O'Reilly Automotive, Inc.",Active,Consumer Cyclical,,,Specialty Retail,Stock,Consumer Cyclical,Specialty Retail,Consumer Cyclical,Specialty Retail
MCK,McKesson Corporation,MCK,McKesson Corporation,Active,Healthcare,,,Medical Distribution,Stock,Healthcare,Medical Distribution,Healthcare,Medical Distribution
CSX,CSX Corporation,CSX,CSX Corporation,Active,Industrials,,,Railroads,Stock,Industrials,Railroads,Industrials,Railroads
BDX,"Becton, Dickinson and Company",BDX,"Becton, Dickinson and Company",Active,Healthcare,,,Medical Instruments & Supplies,Stock,Healthcare,Medical Instruments & Supplies,Healthcare,Medical Instruments & Supplies
ECL,Ecolab Inc.,ECL,Ecolab Inc.,Active,Basic Materials,,,Specialty Chemicals,Stock,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals
FDX,FedEx Corporation,FDX,FedEx Corporation,Active,Industrials,,,Integrated Freight & Logistics,Stock,Industrials,Integrated Freight & Logistics,Industrials,Integrated Freight & Logistics
APD,"Air Products and Chemicals, Inc",APD,"Air Products and Chemicals, Inc.",Active,Basic Materials,,,Specialty Chemicals,Stock,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals
TGT,Target Corporation,TGT,Target Corporation,Active,Consumer Defensive,,,Discount Stores,Stock,Consumer Defensive,Discount Stores,Consumer Defensive,Discount Stores
CARR,Carrier Global Corporation,CARR,Carrier Global Corporation,Active,Industrials,,,Building Products & Equipment,Stock,Industrials,Building Products & Equipment,Industrials,Building Products & Equipment
WMB,"Williams Companies, Inc. (The)",WMB,"The Williams Companies, Inc.",Active,Energy,,,Oil & Gas Midstream,Stock,Energy,Oil & Gas Midstream,Energy,Oil & Gas Midstream
FCX,"Freeport-McMoRan, Inc.",FCX,Freeport-McMoRan Inc.,Active,Basic Materials,,,Copper,Stock,Basic Materials,Copper,Basic Materials,Copper
SPG,"Simon Property Group, Inc.",SPG,"Simon Property Group, Inc.",Active,Real Estate,,,REIT - Retail,Stock,Real Estate,REIT - Retail,Real Estate,REIT - Retail
ADSK,"Autodesk, Inc.",ADSK,"Autodesk, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
RSG,"Republic Services, Inc.",RSG,"Republic Services, Inc.",Active,Industrials,,,Waste Management,Stock,Industrials,Waste Management,Industrials,Waste Management
